AIA193,AIA211,HMI_m
2019-08-25T01-30-08.fits,2019-08-25T02-46-45.fits,2019-08-21T00-01-30.fits
2014-04-18T05-46-34.fits,2014-04-18T05-46-41.fits,2014-04-14T06-01-30.fits
2017-12-01T23-35-00.fits,2017-12-01T23-35-05.fits,2017-11-28T00-01-30.fits
2017-03-18T07-53-45.fits,2017-03-18T07-53-50.fits,2017-03-14T09-01-30.fits
2012-10-23T01-50-41.fits,2012-10-23T01-50-41.fits,2012-10-19T03-01-30.fits
2019-09-14T06-16-02.fits,2019-09-14T06-16-08.fits,2019-09-10T06-01-30.fits
2019-10-11T08-54-46.fits,2019-10-11T07-40-11.fits,2019-10-07T09-01-30.fits
2018-12-28T12-14-03.fits,2018-12-28T12-14-08.fits,2018-12-24T12-01-30.fits
2015-10-20T09-05-42.fits,2015-10-20T09-05-47.fits,2015-10-16T09-01-30.fits
2013-10-27T05-10-24.fits,2013-10-27T05-44-14.fits,2013-10-23T06-01-30.fits
2012-12-07T20-32-18.fits,2012-12-07T20-32-18.fits,2012-12-03T21-01-30.fits
2012-10-16T22-53-22.fits,2012-10-16T22-53-22.fits,2012-10-13T00-01-30.fits
2014-11-08T00-06-07.fits,2014-11-08T00-06-12.fits,2014-11-04T00-01-30.fits
2017-04-08T08-57-15.fits,2017-04-08T08-57-20.fits,2017-04-04T09-01-30.fits
2012-10-19T01-24-14.fits,2012-10-19T01-24-14.fits,2012-10-15T00-01-30.fits
2019-12-30T06-32-49.fits,2019-12-30T06-32-55.fits,2019-12-26T06-01-30.fits
2015-11-14T04-44-42.fits,2015-11-14T04-44-46.fits,2015-11-10T06-01-30.fits
2012-10-24T14-28-52.fits,2012-10-24T14-28-52.fits,2012-10-20T15-01-30.fits
2017-06-29T09-08-55.fits,2017-06-29T09-08-59.fits,2017-06-25T09-01-30.fits
2016-06-07T02-37-19.fits,2016-06-07T02-37-23.fits,2016-06-03T03-01-30.fits
2014-07-04T06-48-44.fits,2014-07-04T06-48-51.fits,2014-06-30T06-01-30.fits
2013-10-22T05-11-12.fits,2013-10-22T05-11-20.fits,2013-10-18T06-01-30.fits
2014-10-05T07-45-29.fits,2014-10-05T07-45-37.fits,2014-10-01T09-01-30.fits
2012-12-07T02-36-59.fits,2012-12-07T02-36-59.fits,2012-12-03T03-01-30.fits
2015-02-20T07-51-23.fits,2015-02-20T07-51-27.fits,2015-02-16T09-01-30.fits
2015-10-20T08-00-52.fits,2015-10-20T08-00-57.fits,2015-10-16T09-01-30.fits
2012-10-26T21-35-57.fits,2012-10-26T21-35-57.fits,2012-10-22T21-01-30.fits
2015-07-18T06-52-14.fits,2015-07-18T05-48-49.fits,2015-07-14T06-01-30.fits
2016-06-03T01-30-08.fits,2016-06-03T01-30-13.fits,2016-05-30T00-01-30.fits
2013-05-12T08-12-16.fits,2013-05-12T08-12-24.fits,2013-05-08T09-01-30.fits
2019-02-02T10-10-52.fits,2019-02-02T10-10-58.fits,2019-01-29T09-01-30.fits
2015-03-27T07-58-15.fits,2015-03-27T07-58-19.fits,2015-03-23T09-01-30.fits
2012-10-19T17-55-15.fits,2012-10-19T17-55-15.fits,2012-10-15T18-01-30.fits
2015-10-14T03-40-46.fits,2015-10-14T03-40-51.fits,2015-10-10T03-01-30.fits
2013-05-18T06-30-18.fits,2013-05-18T06-30-26.fits,2013-05-14T06-01-30.fits
2017-12-02T00-34-18.fits,2017-12-02T00-34-25.fits,2017-11-28T00-01-30.fits
2017-11-03T03-38-08.fits,2017-11-03T03-38-12.fits,2017-10-30T03-01-30.fits
2016-05-29T05-15-25.fits,2016-05-29T05-15-30.fits,2016-05-25T06-01-30.fits
2014-08-10T04-35-16.fits,2014-08-10T04-35-23.fits,2014-08-06T06-01-30.fits
2020-02-12T04-49-20.fits,2020-02-12T04-49-25.fits,2020-02-08T06-01-30.fits
2018-02-04T07-50-35.fits,2018-02-04T07-50-38.fits,2018-01-31T09-01-30.fits
2014-06-30T04-36-40.fits,2014-06-30T04-36-48.fits,2014-06-26T06-01-30.fits
2015-07-07T11-57-46.fits,2015-07-07T11-57-51.fits,2015-07-03T12-01-30.fits
2019-06-15T10-46-05.fits,2019-06-15T10-46-16.fits,2019-06-11T12-01-30.fits
2017-01-13T06-44-20.fits,2017-01-13T06-44-24.fits,2017-01-09T06-01-30.fits
2019-11-27T06-05-42.fits,2019-11-27T06-05-48.fits,2019-11-23T06-01-30.fits
2014-12-03T06-51-41.fits,2014-12-03T06-51-46.fits,2014-11-29T06-01-30.fits
2014-05-28T05-05-26.fits,2014-05-28T05-05-33.fits,2014-05-24T06-01-30.fits
2012-12-07T01-22-02.fits,2012-12-07T01-22-02.fits,2012-12-03T00-01-30.fits
2013-06-06T11-21-45.fits,2013-06-06T11-21-52.fits,2013-06-02T12-01-30.fits
2013-04-17T05-30-02.fits,2013-04-17T05-30-09.fits,2013-04-13T06-01-30.fits
2012-10-19T17-03-43.fits,2012-10-19T17-03-43.fits,2012-10-15T18-01-30.fits
2017-10-20T08-31-27.fits,2017-10-20T08-31-31.fits,2017-10-16T09-01-30.fits
2014-08-05T06-33-57.fits,2014-08-05T06-34-04.fits,2014-08-01T06-01-30.fits
2014-01-21T07-19-02.fits,2014-01-21T07-19-09.fits,2014-01-17T06-01-30.fits
2020-05-08T08-11-10.fits,2020-05-08T08-11-15.fits,2020-05-04T09-01-30.fits
2015-06-04T05-51-59.fits,2015-06-04T05-52-04.fits,2015-05-31T06-01-30.fits
2012-10-19T01-02-24.fits,2012-10-19T01-02-24.fits,2012-10-15T00-01-30.fits
2019-12-03T19-11-32.fits,2019-12-03T19-11-37.fits,2019-11-29T18-01-30.fits
2012-10-24T13-20-36.fits,2012-10-24T13-20-36.fits,2012-10-20T12-01-30.fits
2018-12-14T08-06-05.fits,2018-12-14T08-06-11.fits,2018-12-10T09-01-30.fits
2013-10-02T05-03-50.fits,2013-10-02T05-03-59.fits,2013-09-28T06-01-30.fits
2012-10-18T23-34-46.fits,2012-10-18T23-34-46.fits,2012-10-15T00-01-30.fits
2020-03-22T02-39-00.fits,2020-03-22T02-39-05.fits,2020-03-18T03-01-30.fits
2016-02-22T10-27-04.fits,2016-02-22T10-27-10.fits,2016-02-18T09-01-30.fits
2014-09-28T06-21-06.fits,2014-09-28T06-21-12.fits,2014-09-24T06-01-30.fits
2014-08-08T03-30-25.fits,2014-08-08T03-30-33.fits,2014-08-04T03-01-30.fits
2017-10-17T05-47-22.fits,2017-10-17T05-47-28.fits,2017-10-13T06-01-30.fits
2020-06-25T05-51-47.fits,2020-06-25T05-51-51.fits,2020-06-21T06-01-30.fits
2015-05-23T08-56-42.fits,2015-05-23T08-56-46.fits,2015-05-19T09-01-30.fits
2018-05-26T02-47-57.fits,2018-05-26T02-48-03.fits,2018-05-22T03-01-30.fits
2012-10-16T21-05-02.fits,2012-10-16T21-05-56.fits,2012-10-12T21-01-30.fits
2016-04-18T09-09-29.fits,2016-04-18T09-09-33.fits,2016-04-14T09-01-30.fits
2016-09-11T01-30-09.fits,2016-09-11T01-30-14.fits,2016-09-07T00-01-30.fits
2019-03-15T10-39-34.fits,2019-03-15T10-39-39.fits,2019-03-11T12-01-30.fits
2012-10-18T14-20-26.fits,2012-10-18T14-20-26.fits,2012-10-14T15-01-30.fits
2014-04-06T05-10-58.fits,2014-04-06T05-11-06.fits,2014-04-02T06-01-30.fits
2020-06-25T01-30-03.fits,2020-06-25T01-30-09.fits,2020-06-21T00-01-30.fits
2015-10-21T03-41-43.fits,2015-10-21T03-41-47.fits,2015-10-17T03-01-30.fits
2016-03-13T03-36-58.fits,2016-03-13T03-37-03.fits,2016-03-09T03-01-30.fits
2017-08-04T04-35-36.fits,2017-08-04T04-35-40.fits,2017-07-31T06-01-30.fits
2014-03-18T05-10-01.fits,2014-03-18T05-10-08.fits,2014-03-14T06-01-30.fits
2018-04-13T02-44-57.fits,2018-04-13T02-45-02.fits,2018-04-09T03-01-30.fits
2017-01-13T09-56-24.fits,2017-01-13T09-56-28.fits,2017-01-09T09-01-30.fits
2012-11-30T09-01-10.fits,2012-11-30T09-01-17.fits,2012-11-26T09-01-30.fits
2013-05-21T12-50-31.fits,2013-05-21T12-50-40.fits,2013-05-17T12-01-30.fits
2012-10-18T14-14-48.fits,2012-10-18T14-14-48.fits,2012-10-14T15-01-30.fits
2019-10-22T01-30-20.fits,2019-10-22T01-30-25.fits,2019-10-18T00-01-30.fits
2017-07-21T07-05-44.fits,2017-07-21T07-05-48.fits,2017-07-17T06-01-30.fits
2015-08-21T01-30-08.fits,2015-08-21T01-30-13.fits,2015-08-17T00-01-30.fits
2014-10-10T04-04-11.fits,2014-10-10T04-04-18.fits,2014-10-06T03-01-30.fits
2016-04-25T06-13-32.fits,2016-04-25T06-13-37.fits,2016-04-21T06-01-30.fits
2018-03-02T06-44-26.fits,2018-03-02T06-44-16.fits,2018-02-26T06-01-30.fits
2012-10-24T19-05-02.fits,2012-10-24T19-05-02.fits,2012-10-20T18-01-30.fits
2016-06-25T03-44-53.fits,2016-06-25T03-44-58.fits,2016-06-21T03-01-30.fits
2020-01-08T03-49-20.fits,2020-01-08T03-49-26.fits,2020-01-04T03-01-30.fits
2012-10-18T23-40-04.fits,2012-10-18T23-40-04.fits,2012-10-15T00-01-30.fits
2015-06-27T07-05-07.fits,2015-06-27T07-05-12.fits,2015-06-23T06-01-30.fits
2019-09-22T08-44-57.fits,2019-09-22T08-45-03.fits,2019-09-18T09-01-30.fits
2017-06-24T04-40-11.fits,2017-06-24T04-40-16.fits,2017-06-20T06-01-30.fits
2016-02-10T10-02-27.fits,2016-02-10T08-57-25.fits,2016-02-06T09-01-30.fits
2017-03-07T05-48-36.fits,2017-03-07T05-48-31.fits,2017-03-03T06-01-30.fits
2017-03-02T07-46-45.fits,2017-03-02T07-46-43.fits,2017-02-26T09-01-30.fits
2020-04-19T07-05-21.fits,2020-04-19T05-58-47.fits,2020-04-15T06-01-30.fits
2013-08-07T03-31-28.fits,2013-08-07T03-31-35.fits,2013-08-03T03-01-30.fits
2014-06-02T05-08-01.fits,2014-06-02T05-08-08.fits,2014-05-29T06-01-30.fits
2016-12-26T10-04-54.fits,2016-12-26T10-04-59.fits,2016-12-22T09-01-30.fits
2016-05-07T08-49-06.fits,2016-05-07T08-49-05.fits,2016-05-03T09-01-30.fits
2012-11-08T05-07-52.fits,2012-11-08T05-08-00.fits,2012-11-04T06-01-30.fits
2019-04-03T01-30-07.fits,2019-04-03T02-53-09.fits,2019-03-30T00-01-30.fits
2013-06-03T07-14-13.fits,2013-06-03T07-14-21.fits,2013-05-30T06-01-30.fits
2013-12-30T05-34-26.fits,2013-12-30T05-34-33.fits,2013-12-26T06-01-30.fits
2019-12-14T05-01-11.fits,2019-12-14T05-01-17.fits,2019-12-10T06-01-30.fits
2014-04-01T07-00-15.fits,2014-04-01T07-00-18.fits,2014-03-28T06-01-30.fits
2018-11-13T11-45-13.fits,2018-11-13T11-45-19.fits,2018-11-09T12-01-30.fits
2017-02-17T07-48-17.fits,2017-02-17T07-48-23.fits,2017-02-13T09-01-30.fits
2019-10-11T02-46-00.fits,2019-10-11T02-46-05.fits,2019-10-07T03-01-30.fits
2012-10-18T13-11-49.fits,2012-10-18T13-11-49.fits,2012-10-14T12-01-30.fits
2015-03-18T03-38-38.fits,2015-03-18T03-38-42.fits,2015-03-14T03-01-30.fits
2012-10-24T22-05-18.fits,2012-10-24T22-05-18.fits,2012-10-20T21-01-30.fits
2018-06-25T06-37-31.fits,2018-06-25T07-53-32.fits,2018-06-21T06-01-30.fits
2013-10-29T07-21-24.fits,2013-10-29T07-21-31.fits,2013-10-25T06-01-30.fits
2014-01-07T06-15-11.fits,2014-01-07T06-15-19.fits,2014-01-03T06-01-30.fits
2015-07-10T02-33-58.fits,2015-07-10T02-34-02.fits,2015-07-06T03-01-30.fits
2018-03-18T04-43-37.fits,2018-03-18T04-43-41.fits,2018-03-14T06-01-30.fits
2018-05-13T04-02-00.fits,2018-05-13T04-02-05.fits,2018-05-09T03-01-30.fits
2013-04-26T06-46-14.fits,2013-04-26T06-46-22.fits,2013-04-22T06-01-30.fits
2020-05-19T01-30-08.fits,2020-05-19T01-30-14.fits,2020-05-15T00-01-30.fits
2012-10-17T04-22-29.fits,2012-10-17T04-22-37.fits,2012-10-13T03-01-30.fits
2019-03-03T05-05-57.fits,2019-03-03T05-06-05.fits,2019-02-27T06-01-30.fits
2015-11-14T07-03-22.fits,2015-11-14T07-03-27.fits,2015-11-10T06-01-30.fits
2020-01-15T08-28-19.fits,2020-01-15T08-28-24.fits,2020-01-11T09-01-30.fits
2013-10-05T05-07-57.fits,2013-10-05T05-08-04.fits,2013-10-01T06-01-30.fits
2012-10-25T01-13-26.fits,2012-10-25T01-13-26.fits,2012-10-21T00-01-30.fits
2015-03-06T03-40-01.fits,2015-03-06T03-40-05.fits,2015-03-02T03-01-30.fits
2012-10-24T13-10-24.fits,2012-10-24T13-10-24.fits,2012-10-20T12-01-30.fits
2014-01-25T06-14-51.fits,2014-01-25T06-14-59.fits,2014-01-21T06-01-30.fits
2016-11-21T02-30-09.fits,2016-11-21T02-30-15.fits,2016-11-17T03-01-30.fits
2017-05-10T07-51-47.fits,2017-05-10T07-51-51.fits,2017-05-06T09-01-30.fits
2016-02-25T04-54-42.fits,2016-02-25T04-54-47.fits,2016-02-21T06-01-30.fits
2015-07-07T12-35-15.fits,2015-07-07T12-35-19.fits,2015-07-03T12-01-30.fits
2013-09-20T13-23-01.fits,2013-09-20T13-23-10.fits,2013-09-16T12-01-30.fits
2015-03-25T07-03-19.fits,2015-03-25T08-09-33.fits,2015-03-21T06-01-30.fits
2020-05-22T01-30-04.fits,2020-05-22T01-30-10.fits,2020-05-18T00-01-30.fits
2018-04-21T07-47-52.fits,2018-04-21T07-47-57.fits,2018-04-17T09-01-30.fits
2014-06-17T06-17-05.fits,2014-06-17T06-17-13.fits,2014-06-13T06-01-30.fits
2016-07-07T03-40-57.fits,2016-07-07T03-41-01.fits,2016-07-03T03-01-30.fits
2019-06-01T04-08-06.fits,2019-06-01T04-08-11.fits,2019-05-28T03-01-30.fits
2014-02-22T07-24-39.fits,2014-02-22T07-24-50.fits,2014-02-18T06-01-30.fits
2015-01-31T03-41-49.fits,2015-01-31T03-41-53.fits,2015-01-27T03-01-30.fits
2015-01-29T02-30-21.fits,2015-01-29T02-30-26.fits,2015-01-25T03-01-30.fits
2012-10-17T15-16-20.fits,2012-10-17T15-16-20.fits,2012-10-13T15-01-30.fits
2014-05-25T05-39-02.fits,2014-05-25T05-39-09.fits,2014-05-21T06-01-30.fits
2015-02-20T02-30-34.fits,2015-02-20T02-30-39.fits,2015-02-16T03-01-30.fits
2012-12-10T14-10-54.fits,2012-12-10T14-10-54.fits,2012-12-06T15-01-30.fits
2016-12-25T07-54-08.fits,2016-12-25T07-54-12.fits,2016-12-21T09-01-30.fits
2014-10-22T06-27-30.fits,2014-10-22T06-27-38.fits,2014-10-18T06-01-30.fits
2018-01-10T09-00-40.fits,2018-01-10T09-00-45.fits,2018-01-06T09-01-30.fits
2017-10-09T02-33-27.fits,2017-10-09T02-33-31.fits,2017-10-05T03-01-30.fits
2012-10-19T17-25-53.fits,2012-10-19T17-25-53.fits,2012-10-15T18-01-30.fits
2013-09-17T13-20-38.fits,2013-09-17T13-20-47.fits,2013-09-13T12-01-30.fits
2019-05-15T04-59-08.fits,2019-05-15T04-59-14.fits,2019-05-11T06-01-30.fits
2017-01-04T03-33-08.fits,2017-01-04T03-33-12.fits,2016-12-31T03-01-30.fits
2015-08-16T08-05-37.fits,2015-08-16T08-05-41.fits,2015-08-12T09-01-30.fits
2012-10-24T22-04-50.fits,2012-10-24T22-04-50.fits,2012-10-20T21-01-30.fits
2012-12-06T22-12-28.fits,2012-12-06T22-12-28.fits,2012-12-02T21-01-30.fits
2019-11-08T10-03-00.fits,2019-11-08T10-03-05.fits,2019-11-04T09-01-30.fits
2017-01-26T07-46-19.fits,2017-01-26T07-46-23.fits,2017-01-22T09-01-30.fits
2017-05-16T07-53-17.fits,2017-05-16T07-53-21.fits,2017-05-12T09-01-30.fits
2015-06-26T04-54-12.fits,2015-06-26T04-54-17.fits,2015-06-22T06-01-30.fits
2016-12-28T04-39-51.fits,2016-12-28T04-39-56.fits,2016-12-24T06-01-30.fits
2014-07-02T06-53-58.fits,2014-07-02T06-54-06.fits,2014-06-28T06-01-30.fits
2012-12-26T06-22-50.fits,2012-12-26T06-22-58.fits,2012-12-22T06-01-30.fits
2012-10-25T00-55-55.fits,2012-10-25T00-55-55.fits,2012-10-21T00-01-30.fits
2012-12-30T07-41-26.fits,2012-12-30T07-41-33.fits,2012-12-26T09-01-30.fits
2017-12-10T02-30-06.fits,2017-12-10T02-30-11.fits,2017-12-06T03-01-30.fits
2019-01-12T03-49-20.fits,2019-01-12T03-49-26.fits,2019-01-08T03-01-30.fits
2017-03-02T08-50-27.fits,2017-03-02T08-50-18.fits,2017-02-26T09-01-30.fits
2016-01-25T05-50-39.fits,2016-01-25T04-42-27.fits,2016-01-21T06-01-30.fits
2012-11-09T08-49-29.fits,2012-11-09T08-49-36.fits,2012-11-05T09-01-30.fits
2015-06-16T05-46-42.fits,2015-06-16T05-46-46.fits,2015-06-12T06-01-30.fits
2013-05-24T11-27-31.fits,2013-05-24T11-27-37.fits,2013-05-20T12-01-30.fits
2017-03-14T07-01-16.fits,2017-03-14T07-01-22.fits,2017-03-10T06-01-30.fits
2020-01-18T03-40-51.fits,2020-01-18T03-40-56.fits,2020-01-14T03-01-30.fits
2017-06-25T07-50-52.fits,2017-06-25T07-50-58.fits,2017-06-21T09-01-30.fits
2020-04-22T04-49-00.fits,2020-04-22T04-49-05.fits,2020-04-18T06-01-30.fits
2013-11-14T06-09-12.fits,2013-11-14T06-09-20.fits,2013-11-10T06-01-30.fits
2013-03-05T07-01-53.fits,2013-03-05T07-02-01.fits,2013-03-01T06-01-30.fits
2019-03-14T06-40-24.fits,2019-03-14T06-40-29.fits,2019-03-10T06-01-30.fits
2019-01-02T05-01-53.fits,2019-01-02T03-46-12.fits,2018-12-29T06-01-30.fits
2020-01-30T06-04-35.fits,2020-01-30T06-04-40.fits,2020-01-26T06-01-30.fits
2019-05-03T10-17-47.fits,2019-05-03T10-17-52.fits,2019-04-29T09-01-30.fits
2013-09-28T04-38-47.fits,2013-09-28T04-38-55.fits,2013-09-24T06-01-30.fits
2015-01-29T00-36-57.fits,2015-01-29T00-37-01.fits,2015-01-25T00-01-30.fits
2014-03-17T06-43-27.fits,2014-03-17T06-43-34.fits,2014-03-13T06-01-30.fits
2013-06-01T06-04-04.fits,2013-06-01T06-04-12.fits,2013-05-28T06-01-30.fits
2019-01-14T03-45-41.fits,2019-01-14T03-45-46.fits,2019-01-10T03-01-30.fits
2017-05-18T08-58-38.fits,2017-05-18T08-58-42.fits,2017-05-14T09-01-30.fits
2018-02-12T04-37-35.fits,2018-02-12T04-37-39.fits,2018-02-08T06-01-30.fits
2012-10-26T14-22-17.fits,2012-10-26T14-22-17.fits,2012-10-22T15-01-30.fits
2018-04-17T06-10-54.fits,2018-04-17T05-01-35.fits,2018-04-13T06-01-30.fits
2015-12-27T09-07-11.fits,2015-12-27T09-07-16.fits,2015-12-23T09-01-30.fits
2012-10-19T01-13-47.fits,2012-10-19T01-13-47.fits,2012-10-15T00-01-30.fits
2012-12-07T14-31-04.fits,2012-12-07T14-31-04.fits,2012-12-03T15-01-30.fits
2019-01-27T10-20-05.fits,2019-01-27T10-20-10.fits,2019-01-23T09-01-30.fits
2019-02-15T02-30-14.fits,2019-02-15T02-30-20.fits,2019-02-11T03-01-30.fits
2019-06-10T04-07-23.fits,2019-06-10T04-07-28.fits,2019-06-06T03-01-30.fits
2015-07-19T08-54-11.fits,2015-07-19T08-54-16.fits,2015-07-15T09-01-30.fits
2018-10-23T01-30-40.fits,2018-10-23T01-30-47.fits,2018-10-19T00-01-30.fits
2015-03-09T04-41-13.fits,2015-03-09T04-41-17.fits,2015-03-05T06-01-30.fits
2013-09-08T08-06-40.fits,2013-09-08T08-06-48.fits,2013-09-04T09-02-15.fits
2016-04-08T06-54-22.fits,2016-04-08T06-54-26.fits,2016-04-04T06-01-30.fits
2019-05-04T01-30-08.fits,2019-05-04T01-30-14.fits,2019-04-30T00-01-30.fits
2017-10-03T03-40-38.fits,2017-10-03T03-40-43.fits,2017-09-29T03-01-30.fits
2018-11-28T02-09-25.fits,2018-11-28T02-09-30.fits,2018-11-24T03-01-30.fits
2018-05-06T01-30-02.fits,2018-05-06T01-30-08.fits,2018-05-02T00-01-30.fits
2014-10-26T04-07-01.fits,2014-10-26T04-07-05.fits,2014-10-22T03-01-30.fits
2019-11-28T11-01-54.fits,2019-11-28T11-02-02.fits,2019-11-24T12-01-30.fits
2013-03-09T09-00-48.fits,2013-03-09T09-00-56.fits,2013-03-05T09-02-15.fits
2012-11-05T05-47-39.fits,2012-11-05T05-47-47.fits,2012-11-01T06-01-30.fits
2017-09-16T09-03-34.fits,2017-09-16T09-03-39.fits,2017-09-12T09-01-30.fits
2016-12-28T05-52-40.fits,2016-12-28T05-52-45.fits,2016-12-24T06-01-30.fits
2018-12-02T12-15-34.fits,2018-12-02T12-15-39.fits,2018-11-28T12-01-30.fits
2015-07-16T06-55-34.fits,2015-07-16T06-55-38.fits,2015-07-12T06-01-30.fits
2017-01-06T08-56-28.fits,2017-01-06T08-56-33.fits,2017-01-02T09-01-30.fits
2019-08-16T07-25-03.fits,2019-08-16T07-25-01.fits,2019-08-12T06-01-30.fits
2019-02-15T23-55-45.fits,2019-02-15T23-55-50.fits,2019-02-12T00-01-30.fits
2012-10-08T06-36-23.fits,2012-10-08T06-36-31.fits,2012-10-04T06-01-30.fits
2019-07-06T10-26-49.fits,2019-07-06T10-26-54.fits,2019-07-02T09-01-30.fits
2015-12-05T10-43-36.fits,2015-12-05T09-32-45.fits,2015-12-01T12-01-30.fits
2019-10-25T01-30-04.fits,2019-10-25T01-30-10.fits,2019-10-21T00-01-30.fits
2016-03-10T03-35-13.fits,2016-03-10T03-35-17.fits,2016-03-06T03-01-30.fits
2013-09-13T11-54-50.fits,2013-09-13T11-55-01.fits,2013-09-09T12-01-30.fits
2017-07-11T06-48-07.fits,2017-07-11T06-48-11.fits,2017-07-07T06-01-30.fits
2016-05-08T02-36-03.fits,2016-05-08T02-36-07.fits,2016-05-04T03-01-30.fits
2014-12-28T03-56-34.fits,2014-12-28T03-56-39.fits,2014-12-24T03-01-30.fits
2013-02-13T09-03-20.fits,2013-02-13T09-03-29.fits,2013-02-09T09-01-30.fits
2016-08-16T23-56-20.fits,2016-08-16T23-56-25.fits,2016-08-13T00-01-30.fits
2020-02-18T02-30-08.fits,2020-02-18T02-30-13.fits,2020-02-14T03-01-30.fits
2016-02-29T10-11-06.fits,2016-02-29T10-11-11.fits,2016-02-25T09-02-15.fits
2013-06-26T22-47-29.fits,2013-06-26T22-47-36.fits,2013-06-23T00-01-30.fits
2012-10-18T00-03-44.fits,2012-10-18T00-03-44.fits,2012-10-14T00-01-30.fits
2017-09-13T05-46-48.fits,2017-09-13T05-46-55.fits,2017-09-09T06-01-30.fits
2019-02-05T09-14-45.fits,2019-02-05T09-14-50.fits,2019-02-01T09-01-30.fits
2019-02-20T06-24-23.fits,2019-02-20T06-24-24.fits,2019-02-16T06-01-30.fits
2012-11-01T07-58-41.fits,2012-11-01T07-58-49.fits,2012-10-28T09-01-30.fits
2018-04-12T06-09-47.fits,2018-04-12T06-09-52.fits,2018-04-08T06-01-30.fits
2014-09-07T03-30-22.fits,2014-09-07T03-30-29.fits,2014-09-03T03-01-30.fits
2020-04-15T08-11-23.fits,2020-04-15T08-11-28.fits,2020-04-11T09-01-30.fits
2018-10-25T10-36-09.fits,2018-10-25T10-36-14.fits,2018-10-21T12-01-30.fits
2012-10-24T19-22-22.fits,2012-10-24T19-22-22.fits,2012-10-20T18-01-30.fits
2012-10-18T23-35-02.fits,2012-10-18T23-35-02.fits,2012-10-15T00-01-30.fits
2015-08-13T08-16-48.fits,2015-08-13T08-16-52.fits,2015-08-09T09-01-30.fits
2017-12-30T08-57-27.fits,2017-12-30T08-57-32.fits,2017-12-26T09-01-30.fits
2019-03-16T06-44-16.fits,2019-03-16T06-44-21.fits,2019-03-12T06-01-30.fits
2020-01-20T10-33-03.fits,2020-01-20T10-33-08.fits,2020-01-16T12-01-30.fits
2017-08-01T01-30-05.fits,2017-08-01T01-30-11.fits,2017-07-28T00-01-30.fits
2017-06-10T01-30-06.fits,2017-06-10T01-30-11.fits,2017-06-06T00-01-30.fits
2015-11-03T06-46-14.fits,2015-11-03T06-46-19.fits,2015-10-30T06-01-30.fits
2012-10-17T13-52-22.fits,2012-10-17T13-52-22.fits,2012-10-13T15-01-30.fits
2019-04-19T07-58-47.fits,2019-04-19T07-58-52.fits,2019-04-15T09-01-30.fits
2017-03-16T04-41-42.fits,2017-03-16T04-41-47.fits,2017-03-12T06-01-30.fits
2012-10-18T22-00-58.fits,2012-10-18T22-00-58.fits,2012-10-14T21-01-30.fits
2013-12-29T06-06-10.fits,2013-12-29T06-06-18.fits,2013-12-25T06-01-30.fits
2019-01-02T10-17-08.fits,2019-01-02T09-00-10.fits,2018-12-29T09-01-30.fits
2016-12-22T08-52-36.fits,2016-12-22T08-52-40.fits,2016-12-18T09-01-30.fits
2015-12-23T07-59-04.fits,2015-12-23T07-59-09.fits,2015-12-19T09-01-30.fits
2017-01-31T08-53-15.fits,2017-01-31T08-53-19.fits,2017-01-27T09-01-30.fits
2019-09-24T01-30-03.fits,2019-09-24T01-30-09.fits,2019-09-20T00-01-30.fits
2018-03-20T02-36-56.fits,2018-03-20T02-37-00.fits,2018-03-16T03-01-30.fits
2015-11-25T05-47-40.fits,2015-11-25T05-47-45.fits,2015-11-21T06-01-30.fits
2013-05-11T08-12-41.fits,2013-05-11T08-12-49.fits,2013-05-07T09-01-30.fits
2018-01-02T08-52-58.fits,2018-01-02T08-53-02.fits,2017-12-29T09-01-30.fits
2016-12-12T09-59-55.fits,2016-12-12T10-00-00.fits,2016-12-08T09-01-30.fits
2019-01-16T13-19-49.fits,2019-01-16T13-19-54.fits,2019-01-12T12-01-30.fits
2013-09-27T06-21-08.fits,2013-09-27T06-21-16.fits,2013-09-23T06-01-30.fits
2019-10-04T03-54-02.fits,2019-10-04T03-54-07.fits,2019-09-30T03-01-30.fits
2020-01-21T10-26-43.fits,2020-01-21T10-26-48.fits,2020-01-17T09-01-30.fits
2017-12-24T10-05-20.fits,2017-12-24T10-05-24.fits,2017-12-20T09-01-30.fits
2016-02-11T08-07-42.fits,2016-02-11T08-07-47.fits,2016-02-07T09-01-30.fits
2014-10-26T06-30-15.fits,2014-10-26T06-30-23.fits,2014-10-22T06-01-30.fits
2017-04-18T07-57-43.fits,2017-04-18T07-57-48.fits,2017-04-14T09-01-30.fits
2015-02-15T05-44-34.fits,2015-02-15T05-44-39.fits,2015-02-11T06-01-30.fits
2013-08-21T19-16-42.fits,2013-08-21T19-16-49.fits,2013-08-17T18-01-30.fits
2019-05-02T04-07-29.fits,2019-05-02T05-25-04.fits,2019-04-28T03-01-30.fits
2020-01-12T02-30-07.fits,2020-01-12T02-30-13.fits,2020-01-08T03-01-30.fits
2014-07-06T04-00-07.fits,2014-07-06T04-00-14.fits,2014-07-02T03-01-30.fits
2015-04-07T09-00-07.fits,2015-04-07T09-00-11.fits,2015-04-03T09-01-30.fits
2015-09-14T07-19-39.fits,2015-09-14T08-25-48.fits,2015-09-10T06-01-30.fits
2017-10-09T17-11-32.fits,2017-10-09T17-11-37.fits,2017-10-05T18-01-30.fits
2012-10-17T21-06-59.fits,2012-10-17T21-06-59.fits,2012-10-13T21-01-30.fits
